AFFEGO;MAMOGRAFIA;AMPLIACAO;;
AMIL;MAMOGRAFIA;;;DOPPLER + BASE
ASSEFAZ;MAMOGRAFIA;;;DOPPLER + BASE
BRB;MAMOGRAFIA;;;
CAESAN;MAMOGRAFIA;AMPLIACAO;;
CAPESESP;MAMOGRAFIA;;US MAMAS;
CASEMBRAPA;MAMOGRAFIA;AMPLIACAO;;DOPPLER + BASE
CAMARA;MAMOGRAFIA;;US MAMAS;
CASSI;MAMOGRAFIA;AMPLIACAO;;DOPPLER + BASE
E-VIDA;;;;DOPPLER + BASE
FASCAL;MAMOGRAFIA;AMPLIACAO;;DOPPLER + BASE
CASEC;MAMOGRAFIA;AMPLIACAO;;
GAMA SAUDE;;;;DOPPLER + BASE
GEAP;MAMOGRAFIA;AMPLIACAO;;
GDF;MAMOGRAFIA;AMPLIACAO;;DOPPLER + BASE
INFRAERO;MAMOGRAFIA;AMPLIACAO;;
MPU;MAMOGRAFIA;;US MAMAS;
POLICIA FEDERAL;MAMOGRAFIA;;;
POSTAL SAUDE;MAMOGRAFIA;AMPLIACAO;;
PROASA;MAMOGRAFIA;;;DOPPLER + BASE
SERPRO;MAMOGRAFIA;;;DOPPLER + BASE
SIS SENADO;MAMOGRAFIA;AMPLIACAO;US MAMAS;
STF;MAMOGRAFIA;;;
STJ;MAMOGRAFIA;;;
STM;MAMOGRAFIA;;;DOPPLER + BASE
TJDFT;MAMOGRAFIA;AMPLIACAO;US MAMAS;
TRE;MAMOGRAFIA;;;
TRF;MAMOGRAFIA;;;
TST;MAMOGRAFIA;;;
